City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
178,zouerate,22.7187,-12.4521,33.52,10,0,4.18,MR,1730912613
179,diego de almagro,-26.3667,-70.05,27.84,19,0,5.76,CL,1730912615
180,lebu,-37.6167,-73.65,14.08,72,62,7.35,CL,1730912616
181,thompson,55.7435,-97.8558,-1.91,93,100,1.03,CA,1730912617
182,cabo san lucas,22.8909,-109.9124,24.16,58,5,2.04,MX,1730912581
183,crane,31.3974,-102.3501,20.11,31,0,7.45,US,1730912619
184,constitucion,-35.3333,-72.4167,19.52,51,16,7.37,CL,1730912620
185,haiku-pauwela,20.9219,-156.3051,23.47,75,5,8.05,US,1730912622
186,coquimbo,-29.9533,-71.3436,20.55,48,0,7.2,CL,1730912623
187,aljezur,37.3191,-8.8033,19.53,75,1,1.05,PT,1730912624
188,hawaiian paradise park,19.5933,-154.9731,21.52,96,34,0.45,US,1730912625
189,mangai,-4.05,19.5333,26.45,67,96,0.42,CD,1730912626
190,lyuban',52.7985,28.0048,5.14,93,27,3.81,BY,1730912627
191,alaghsas,17.0187,8.0168,28.94,16,0,8.75,NE,1730912629
192,ketchikan,55.3422,-131.6461,11.26,87,100,11.32,US,1730912630
193,nuuk,64.1835,-51.7216,-8.4,72,58,5.81,GL,1730912589
194,ostersund,63.1792,14.6357,4.78,89,40,5.14,SE,1730912632
195,longyearbyen,78.2186,15.6401,-6.09,86,20,4.63,SJ,1730912633
196,ardmore,34.1743,-97.1436,18.25,59,0,4.12,US,1730912635
197,lorengau,-2.0226,147.2712,26.86,80,24,2.31,PG,1730912636
198,magadan,59.5667,150.8,-15.58,73,70,3.74,RU,1730912637
199,sangmelima,2.9333,11.9833,22.72,85,89,0.62,CM,1730912638
200,caleta de carquin,-11.0925,-77.6267,21.48,73,81,4.66,PE,1730912639
201,mount pearl,47.5166,-52.7813,10.64,95,100,7.72,CA,1730912641
202,fortuna,40.5982,-124.1573,5.51,100,0,2.06,US,1730912642
203,port alfred,-33.5906,26.891,16.21,72,27,3.27,ZA,1730912643
204,karratha,-20.7377,116.8463,33.68,18,70,8.31,AU,1730912644
205,pitimbu,-7.4706,-34.8086,27.45,64,54,6.74,BR,1730912645
206,laguna,38.421,-121.4238,14.47,38,0,8.23,US,1730912646
207,karlskrona,56.1616,15.5866,8.25,89,70,3.51,SE,1730912648
208,bredasdorp,-34.5322,20.0403,16.07,72,56,6.82,ZA,1730912649
209,suva,-18.1416,178.4415,22.71,100,75,1.54,FJ,1730912632
210,sinabang,2.4803,96.3801,26.16,78,100,1.38,ID,1730912651
211,malindi,-3.2175,40.1191,26.34,85,21,3.99,KE,1730912652
212,wangqing,43.3218,129.7634,-5.07,52,2,0.24,CN,1730912654
213,cova figueira,14.8905,-24.2934,22.4,61,6,5.57,CV,1730912655
214,arvayheer,46.2639,102.775,-1.09,46,25,0.92,MN,1730912656
215,karkkila,60.5342,24.2098,6.67,98,44,2.04,FI,1730912657
216,al jawf,29.5,38.75,21.54,48,54,8.66,SA,1730912658
217,ancud,-41.8697,-73.8203,11.75,54,41,3.78,CL,1730912659
218,sumy,50.9216,34.8003,6.96,90,100,4.65,UA,1730912381
219,palpa,-14.5336,-75.1856,29.55,34,38,3.98,PE,1730912662
220,mugia,43.1041,-9.2179,17.73,90,37,2.95,ES,1730912663
221,utrik,11.2278,169.8474,28.48,81,100,9.7,MH,1730912664
